epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.66557,1.76166,3.8437,1.81193,0.0138,0.31501,0.03189,0.01513,1.79764,3.93097,1.95943,1.111e-05,1.111e-05,1.111e-05
2,14.6151,1.54211,3.68233,1.69917,0.01496,0.3384,0.04064,0.01897,1.70741,3.92316,1.88659,3.3165e-05,3.3165e-05,3.3165e-05
3,21.1181,1.72497,3.8183,1.84479,0.01515,0.35376,0.05349,0.02152,1.56001,3.90001,1.76797,5.50001e-05,5.50001e-05,5.50001e-05
4,27.4986,1.65481,3.84556,1.75107,0.01573,0.37358,0.06683,0.03668,1.40585,3.87879,1.60962,7.66151e-05,7.66151e-05,7.66151e-05
5,34.0679,1.48954,3.74268,1.57838,0.01607,0.38099,0.08034,0.04103,1.34511,3.86429,1.55006,9.80102e-05,9.80102e-05,9.80102e-05
6,40.6023,1.44048,3.70096,1.57017,0.01655,0.38774,0.09064,0.0498,1.27434,3.85772,1.48056,0.000119185,0.000119185,0.000119185
7,46.9568,1.15959,3.52831,1.35093,0.01675,0.40401,0.12925,0.06489,1.24346,3.83723,1.41461,0.00014014,0.00014014,0.00014014
8,53.3309,1.3306,3.68563,1.46331,0.01659,0.40214,0.14674,0.08493,1.20555,3.80715,1.35324,0.000160876,0.000160876,0.000160876
9,60.2403,1.39627,3.52615,1.48712,0.01833,0.44192,0.16638,0.09537,1.12592,3.75813,1.25932,0.000181391,0.000181391,0.000181391
10,67.2198,1.51429,3.58941,1.51715,0.01827,0.44772,0.17294,0.10395,1.09333,3.69938,1.1969,0.000201686,0.000201686,0.000201686
11,74.4793,1.16257,3.23113,1.32569,0.01894,0.46638,0.15745,0.09772,1.09762,3.66641,1.16624,0.000221761,0.000221761,0.000221761
12,81.5436,1.27815,3.11694,1.31493,0.01894,0.46638,0.15745,0.09772,1.09762,3.66641,1.16624,0.000241616,0.000241616,0.000241616
13,90.398,1.39409,3.13036,1.36462,0.01891,0.48066,0.15769,0.09859,1.13087,3.61928,1.16473,0.000261252,0.000261252,0.000261252
14,97.5998,1.25872,2.99085,1.35283,0.01763,0.4644,0.1839,0.11495,1.1274,3.5408,1.15354,0.000280667,0.000280667,0.000280667
15,104.912,1.24598,2.8326,1.26903,0.01763,0.4644,0.1839,0.11495,1.1274,3.5408,1.15354,0.000299862,0.000299862,0.000299862
16,112.121,1.27013,2.79502,1.24457,0.02095,0.52984,0.21425,0.1531,1.15375,3.44411,1.17077,0.000318838,0.000318838,0.000318838
17,119.915,1.17865,2.52313,1.29266,0.02703,0.63338,0.3065,0.21747,1.12388,3.28684,1.16204,0.000337593,0.000337593,0.000337593
18,127.881,1.20173,2.51511,1.25839,0.02703,0.63338,0.3065,0.21747,1.12388,3.28684,1.16204,0.000356128,0.000356128,0.000356128
19,136.101,1.24234,2.55355,1.23564,0.93856,0.10255,0.3923,0.27662,1.09999,3.10542,1.14988,0.000374444,0.000374444,0.000374444
20,143.928,1.28705,2.54909,1.22995,0.93856,0.10255,0.3923,0.27662,1.09999,3.10542,1.14988,0.000392539,0.000392539,0.000392539
21,152.96,1.01411,2.1705,1.11595,0.79481,0.15099,0.40434,0.2812,1.08946,2.88354,1.12935,0.000410415,0.000410415,0.000410415
22,160.853,1.17265,2.16892,1.22411,0.79481,0.15099,0.40434,0.2812,1.08946,2.88354,1.12935,0.00042807,0.00042807,0.00042807
23,169.134,1.23836,2.22558,1.23016,0.73915,0.22236,0.4299,0.28106,1.11717,2.66076,1.12992,0.000445505,0.000445505,0.000445505
24,177.564,1.10734,1.98707,1.1721,0.73915,0.22236,0.4299,0.28106,1.11717,2.66076,1.12992,0.000462721,0.000462721,0.000462721
25,185.661,1.05128,2.09602,1.107,0.63993,0.35353,0.48787,0.31619,1.16166,2.48491,1.13844,0.000479716,0.000479716,0.000479716
26,193.081,1.09612,1.92811,1.09837,0.63993,0.35353,0.48787,0.31619,1.16166,2.48491,1.13844,0.000496492,0.000496492,0.000496492
27,201.63,1.16998,1.94139,1.17346,0.63993,0.35353,0.48787,0.31619,1.16166,2.48491,1.13844,0.000513048,0.000513048,0.000513048
28,209.505,1.01047,1.81235,1.18816,0.71041,0.37811,0.54459,0.40367,1.10342,2.34827,1.14131,0.000529383,0.000529383,0.000529383
29,218.086,1.23234,1.8748,1.22338,0.71041,0.37811,0.54459,0.40367,1.10342,2.34827,1.14131,0.000545499,0.000545499,0.000545499
30,225.807,0.95408,1.74253,1.13757,0.65278,0.406,0.52793,0.40103,1.0343,2.2458,1.12964,0.000561394,0.000561394,0.000561394
31,235.422,1.28436,1.93069,1.18907,0.65278,0.406,0.52793,0.40103,1.0343,2.2458,1.12964,0.00057707,0.00057707,0.00057707
32,243.797,1.21156,1.82254,1.17953,0.65278,0.406,0.52793,0.40103,1.0343,2.2458,1.12964,0.000592526,0.000592526,0.000592526
33,251.766,1.00597,1.69616,1.19811,0.7355,0.51232,0.65406,0.49736,1.02777,2.02186,1.10812,0.000607761,0.000607761,0.000607761
34,259.239,1.08898,1.70346,1.18526,0.7355,0.51232,0.65406,0.49736,1.02777,2.02186,1.10812,0.000622777,0.000622777,0.000622777
35,267.21,1.13134,1.5923,1.07894,0.7355,0.51232,0.65406,0.49736,1.02777,2.02186,1.10812,0.000637573,0.000637573,0.000637573
36,277.533,1.11867,1.66653,1.10402,0.60969,0.59532,0.70103,0.51366,1.02074,1.90863,1.10007,0.000652149,0.000652149,0.000652149
37,286.139,1.02042,1.59432,1.07995,0.60969,0.59532,0.70103,0.51366,1.02074,1.90863,1.10007,0.000666504,0.000666504,0.000666504
38,294.41,1.05628,1.61768,1.15964,0.60969,0.59532,0.70103,0.51366,1.02074,1.90863,1.10007,0.00068064,0.00068064,0.00068064
39,303.009,1.04716,1.5694,1.10959,0.59648,0.61431,0.6911,0.47871,1.02306,1.80219,1.10474,0.000694556,0.000694556,0.000694556
40,312.098,1.0126,1.55178,1.09515,0.59648,0.61431,0.6911,0.47871,1.02306,1.80219,1.10474,0.000708252,0.000708252,0.000708252
41,319.402,1.07832,1.57051,1.09442,0.59648,0.61431,0.6911,0.47871,1.02306,1.80219,1.10474,0.000721728,0.000721728,0.000721728
42,326.975,1.31979,2.11466,1.22934,0.63771,0.66184,0.67132,0.46807,1.05157,1.789,1.12056,0.000734984,0.000734984,0.000734984
43,334.626,0.9939,1.46488,1.09286,0.63771,0.66184,0.67132,0.46807,1.05157,1.789,1.12056,0.00074802,0.00074802,0.00074802
44,342.12,1.1138,1.56018,1.0997,0.63771,0.66184,0.67132,0.46807,1.05157,1.789,1.12056,0.000760836,0.000760836,0.000760836
45,349.785,1.23841,1.58697,1.20982,0.63771,0.66184,0.67132,0.46807,1.05157,1.789,1.12056,0.000773432,0.000773432,0.000773432
46,357.378,0.9654,1.48103,1.02514,0.63282,0.67834,0.69694,0.49148,1.01997,1.65408,1.12218,0.000785808,0.000785808,0.000785808
47,365.695,0.94322,1.39368,1.10051,0.63282,0.67834,0.69694,0.49148,1.01997,1.65408,1.12218,0.000797964,0.000797964,0.000797964
48,373.735,1.02898,1.36723,1.13626,0.63282,0.67834,0.69694,0.49148,1.01997,1.65408,1.12218,0.0008099,0.0008099,0.0008099
49,381.876,1.20825,1.42638,1.16257,0.63282,0.67834,0.69694,0.49148,1.01997,1.65408,1.12218,0.000821616,0.000821616,0.000821616
